,Location,ZIP
487,"(41.743127, -87.611012)",60619
488,"(41.7320212, -87.6020322)",60619
489,"(41.7578079, -87.59908949999999)",60619
490,"(41.8826702, -87.69291419999999)",60612
491,"(41.8710725, -87.69486839999999)",60612
492,"(41.8281504, -87.6478954)",60609
493,"(41.7533701, -87.70813199999999)",60652
494,"(41.8306422, -87.6122838)",60616
495,"(41.8308964, -87.61344509999999)",60653
496,"(41.7803131, -87.78784519999999)",60638
497,"(41.7249376, -87.5620095)",60617
498,"(41.86323470000001, -87.7020481)",60623
499,"(41.8359339, -87.6186606)",60616
500,"(41.8903861, -87.7671483)",60644
501,"(41.84373799999999, -87.617609)",60616
502,"(41.7675481, -87.6736083)",60636
503,"(41.9157206, -87.6744861)",60622
504,"(42.0172513, -87.6703359)",60626
505,"(41.6540012, -87.61420729999999)",60827
506,"(41.7796859, -87.616729)",60637
507,"(41.774602, -87.60127299999999)",60637
508,"(41.8383559, -87.62188739999999)",60616
509,"(41.84057139999999, -87.61797609999999)",60616
510,"(41.965953, -87.782342)",60630
511,"(41.6964204, -87.6397648)",60628
512,"(41.7391468, -87.7300731)",60652
513,"(41.73904700000001, -87.7298805)",60652
514,"(41.8989138, -87.63948719999999)",60610
515,"(41.8046858, -87.6251595)",60609
516,"(41.855021, -87.6539074)",60608
517,"(41.85858289999999, -87.7157865)",60623
518,"(41.8013958, -87.61238639999999)",60615
519,"(41.7264906, -87.5828207)",60617
520,"(41.7824613, -87.667909)",60636
521,"(41.774628, -87.70833510000001)",60629
522,"(42.0046525, -87.8108201)",60631
523,"(41.7462811, -87.5650344)",60617
524,"(41.8966966, -87.66140709999999)",60642
525,"(41.9994428, -87.76183530000002)",60646
526,"(41.9942041, -87.81378470000001)",60631
527,"(42.0040475, -87.8175957)",60631
528,"(41.784231, -87.6430642)",60621
529,"(41.659438, -87.64166999999999)",60628
530,"(41.8000925, -87.625787)",60609
531,"(41.8053759, -87.72553649999999)",60632
532,"(41.8849719, -87.7650286)",60644
533,"(41.8275296, -87.61162639999999)",60653
534,"(41.8004125, -87.59666800000001)",60615
535,"(41.9444386, -87.706524)",60618
536,"(41.792251, -87.6442469)",60621
537,"(41.7421561, -87.6725764)",60620
538,"(41.9948698, -87.6770939)",60660
539,"(41.8809312, -87.7640378)",60644
540,"(41.7820213, -87.6342184)",60621
541,"(41.8457328, -87.7302289)",60623
542,"(41.9161135, -87.6831924)",60622
543,"(41.87607939999999, -87.71646849999999)",60624
544,"(41.9069483, -87.6941154)",60622
545,"(41.782774, -87.6430759)",60621
546,"(41.689107, -87.669517)",60643
547,"(41.8914182, -87.6688319)",60622
548,"(41.7549485, -87.5900638)",60619
549,"(41.7157214, -87.6375936)",60628
550,"(41.9132237, -87.6332098)",60614
551,"(41.7281366, -87.64854489999999)",60620
552,"(41.83173910000001, -87.68109489999999)",60608
553,"(41.8290346, -87.66755839999999)",60609
554,"(41.93986779999999, -87.6456551)",60657
555,"(41.7156457, -87.63896930000001)",60628
556,"(41.7172417, -87.5352767)",60617
557,"(41.7490917, -87.6637731)",60620
558,"(41.7806058, -87.69160629999999)",60629
559,"(41.9355906, -87.7506105)",60641
560,"(41.8798883, -87.7082623)",60624
561,"(41.9802178, -87.76656679999999)",60630
562,"(41.8493374, -87.7083014)",60623
563,"(41.7535399, -87.5813204)",60649
564,"(41.939563, -87.67915939999999)",60618
565,"(41.6896803, -87.63835449999999)",60628
566,"(41.7673044, -87.5902468)",60637
567,"(41.7042165, -87.6383391)",60628
568,"(41.7110227, -87.6402505)",60628
569,"(41.7215108, -87.63395969999999)",60628
570,"(42.00962810000001, -87.6694199)",60626
571,"(41.9739865, -87.7223829)",60625
572,"(41.953537, -87.675045)",60613
573,"(41.8494453, -87.6869415)",60608
574,"(41.7828402, -87.60273699999999)",60637
575,"(41.9148126, -87.69190929999999)",60647
576,"(41.7750194, -87.59606149999999)",60637
577,"(41.9397716, -87.7527327)",60641
578,"(41.977859, -87.7540999)",60630
579,"(41.7299219, -87.65497289999999)",60620
580,"(41.864722, -87.6588229)",60608
581,"(41.7413927, -87.6583636)",60620
582,"(41.7386327, -87.6685596)",60620
583,"(41.8964647, -87.62761069999999)",60654
584,"(41.92319519999999, -87.6384928)",60614
585,"(41.7692969, -87.6337463)",60621
586,"(41.861171, -87.7335878)",60623
587,"(41.9060674, -87.6359593)",60610
588,"(41.8668215, -87.7262167)",60624
589,"(41.907126, -87.6461697)",60610
590,"(41.8180574, -87.61232790000001)",60653
591,"(41.8122536, -87.63460839999999)",60609
592,"(41.7971263, -87.6687067)",60609
593,"(41.9177477, -87.7171339)",60647
594,"(41.7938644, -87.68454709999999)",60632
595,"(41.7910307, -87.6897308)",60629
596,"(42.020606, -87.6707064)",60626
597,"(42.0206137, -87.6713468)",60626
598,"(41.9124286, -87.76898550000001)",60639
599,"(41.871056, -87.65372740000001)",60607
600,"(41.7068834, -87.5349293)",60617
601,"(41.6813598, -87.6482073)",60643
602,"(41.8814165, -87.715873)",60624
603,"(41.8118355, -87.6321122)",60609
604,"(41.8716496, -87.6652757)",60607
605,"(41.7065861, -87.6471333)",60643
606,"(41.9760619, -87.7958862)",60656
607,"(41.83787969999999, -87.7187629)",60623
608,"(41.7082497, -87.6031819)",60628
609,"(41.971689, -87.69017730000002)",60625
610,"(41.9587256, -87.65024849999999)",60613
611,"(41.7505657, -87.71335619999999)",60652
612,"(41.687708, -87.5359574)",60617
613,"(41.952355, -87.6505937)",60613
614,"(41.7252002, -87.6231245)",60619
615,"(41.8608428, -87.7116411)",60623
616,"(41.9791707, -87.7730539)",60630
617,"(41.8653843, -87.67574019999999)",60608
618,"(41.87621120000001, -87.70873689999999)",60624
619,"(41.8074018, -87.7401728)",60632
620,"(41.7966195, -87.76458799999999)",60638
621,"(41.922683, -87.6932528)",60647
622,"(42.0109824, -87.66586699999999)",60626
623,"(41.8775566, -87.7319598)",60624
